qe,qc,vc,qs,vs,x1,x2,ref1,ref2,erro1,erro2,erro,control_elapsed
4.0,1.6513248363013564,75.23590559365,0.5904340738390915,100,1.2043553952112167,0.3486123502022754,4.0,4.0,2.7956446047887833,3.6513876497977247,6.447032254586508,857.2800159454346
4.0,1.6532494956855992,73.97602583305763,0.6069466832022988,100,1.2486328434524663,0.3683842189047498,4.0,4.0,2.7513671565475337,3.6316157810952503,6.382982937642784,772.1896171569824
4.0,1.6819514263776163,73.97602583305763,0.6232071230113112,100,1.2923640132211656,0.3883870582720098,4.0,4.0,2.7076359867788344,3.6116129417279903,6.319248928506825,876.8935203552246
4.0,1.7098322450151955,73.97602583305763,0.6392262168958375,100,1.335564800124497,0.40861009432388556,4.0,4.0,2.664435199875503,3.5913899056761145,6.255825105551617,884.9339485168457
4.0,1.7369409003822756,73.97602583305763,0.6550139996784713,100,1.3782501333941584,0.4290432759403631,4.0,4.0,2.6217498666058416,3.570956724059637,6.192706590665479,887.516975402832
4.0,1.7633217303182145,73.97602583305763,0.6705797995769084,100,1.42043406869859,0.4496772022764461,4.0,4.0,2.57956593130141,3.550322797723554,6.129888729024964,912.1520519256592
4.0,2.4087381992322054,100.0,0.6942934800725259,100,1.4505045085043655,0.48204355978677443,4.0,4.0,2.5494954914956347,3.5179564402132257,6.06745193170886,566.0626888275146
4.0,2.433196097735576,100.0,0.717238547784384,100,1.480110402892866,0.5144312307604257,4.0,4.0,2.519889597107134,3.485568769239574,6.0054583663467085,885.7531547546387
4.0,1.6142211292011632,65.35645355942805,0.728794135303337,100,1.5250675475062558,0.5311407978391397,4.0,4.0,2.474932452493744,3.46885920216086,5.943791654654604,536.3435745239258
4.0,0.47502633808433936,18.828596686587566,0.7255433091187097,100,1.5912540280766143,0.5264131710183519,4.0,4.0,2.408745971923386,3.473586828981648,5.882332800905034,756.2770843505859
4.0,0.4847777402865001,18.828596686587566,0.7224457236901956,100,1.657255512719404,0.5219278974529015,4.0,4.0,2.342744487280596,3.4780721025470984,5.820816589827695,1260.8222961425781
4.0,0.4943108924582636,18.828596686587566,0.719498415901756,100,1.7230762259819943,0.5176780405011207,4.0,4.0,2.2769237740180057,3.4823219594988792,5.7592457335168845,1293.083667755127
4.0,0.5036387469762642,18.828596686587566,0.7166986066360281,100,1.7887201365581287,0.5136569590886247,4.0,4.0,2.211279863441871,3.4863430409113754,5.6976229043532465,1312.6220703125
