l,qe,qc,qs,x1,x2,NN_x1,NN_x2
0,2.0,0.7461708921311809,0.20528414177462784,0.1391917829056041,0.04214232388784046,0.07082232627099888,0.026815678955816068
1,2.0,2.0,1.0448054510081128,1.0,1.091618363510718,1.0026712731908918,1.0673492481615272
2,2.0,2.774792836954747,1.4585719196838718,1.9248690776774973,2.1274319973967173,1.9278686809351395,2.1143569269397946
3,2.0,3.3860986479985127,1.7764733265067687,2.8664163366342104,3.1558574408950983,2.851503779899756,3.163134990956813
4,2.0,3.9073569864065862,2.044542120046119,3.8168599988224665,4.180152446881992,3.8013108740031973,4.191446368057822
5,2.0,4.369468985905975,2.2807275367445823,4.773065153370846,5.2017180666161,4.762023923196309,5.209754664331882
6,2.0,4.788901326807185,2.4942549250567865,5.733394326173555,6.221307603519097,5.72263047231331,6.2321928302294
7,2.0,5.175659881252955,2.6906098052795673,6.696864143429962,7.239381098638702,6.683730737168075,7.255175089346831
8,2.0,5.536363019299159,2.873368033988787,7.662829206061967,8.256243834754294,7.659797057239308,8.262437964466036
9,2.0,5.875657764346124,3.0450140683296794,8.630838870018886,9.272110653686493,8.63540491772656,9.277824230729722
10,2.0,6.196955189626699,3.207357096869713,9.600563727955196,10.287139525349236,9.608929644266492,10.294969219541601
11,2.0,6.502846767376472,3.361763025884397,10.571754335807677,11.301450621700852,10.57895447053267,11.31497171470639
12,2.0,6.795356093597111,3.4730932424122085,11.544216419139142,12.0,11.539619617647018,12.01327907377452
