x1,qe,vc,x2,vs,diff1,diff2
3.02,3.41,63.0,2.52,19.0,0.11249750510800194,0.17879714449019435
8.66,3.99,3.0,11.86,21.0,0.35733968906215985,-0.05097089813321887
0.91,1.92,87.0,0.67,46.0,0.023379370881521755,0.11998082435712776
11.63,2.35,32.0,12.09,54.0,0.015626965116958047,-0.08999999999999986
1.75,1.22,100.0,1.19,36.0,-0.12898006053406008,0.20405696216291536
1.94,1.42,78.0,3.79,24.0,-0.06874618805933741,0.1572512492221434
6.72,2.33,3.0,1.31,16.0,0.20374583944129387,-0.0024465536076678784
7.61,0.87,40.0,8.76,14.0,-0.12448385899367054,0.16684526447218317
3.3200000000000003,0.22,51.0,12.19,74.0,-0.15159872194435486,-0.2449037929578246
8.11,3.56,96.0,9.700000000000001,91.0,-0.17604829851327963,0.24187561894124876
11.98,3.46,99.0,5.45,58.0,-0.3138669955704785,0.5075312759059916
4.1,3.11,65.0,3.4,97.0,0.04411843779201341,0.07892512458961143
5.4,3.67,24.0,10.540000000000001,30.0,0.23834459770636407,0.014606246088272101
6.3500000000000005,3.69,65.0,9.96,81.0,0.03835699471575271,0.06761214812038219
9.32,1.52,38.0,9.75,66.0,-0.07458022622675209,0.02367031954376486
6.640000000000001,1.4000000000000001,7.0,9.74,52.0,0.09730558340920759,-0.11771327206077409
5.2700000000000005,1.94,96.0,8.68,14.0,-0.22683307772734285,0.3687313219328079
1.01,2.54,99.0,10.17,69.0,0.049282509548690845,-0.016911233009780702
2.93,2.99,22.0,1.36,58.0,0.20846005210891017,0.008591474709253477
1.07,0.11,16.0,0.4,63.0,-0.02056975451779053,-0.006353354921352583
3.71,3.66,39.0,8.83,28.0,0.20038533919384083,0.06496967411469257
1.86,0.8,79.0,8.53,43.0,-0.12359021819059524,0.07989131261535043
5.12,2.45,56.0,6.46,40.0,-0.007809408118932382,0.14164549416650196
0.62,2.3000000000000003,1.0,9.18,100.0,0.21402770681296102,-0.2802428534588728
9.13,0.89,82.0,0.54,10.0,-0.37629089976386787,0.4505846220194194
10.27,2.66,81.0,1.51,9.0,-0.23453586845976027,0.47220949298295256
6.69,2.87,10.0,2.11,64.0,0.2201684759037832,-0.03778785389156125
2.71,1.56,2.0,11.94,4.0,0.13999765225575445,-0.006687964106074418
6.46,1.6500000000000001,25.0,11.790000000000001,39.0,0.03538426839333919,-0.006190644141391033
8.27,2.71,52.0,2.5100000000000002,67.0,-0.026102189745628834,0.1788481834981437
12.96,1.56,71.0,5.21,30.0,-1.2099936778556764,0.39669899810240317
0.06,0.89,27.0,0.91,7.0,0.0679649749643553,0.009758859191857483
11.14,0.19,0.0,0.53,20.0,0.017812499999996234,-0.013562315417385284
3.14,0.6900000000000001,71.0,5.09,0.0,-0.16800613982682933,0.2320540938019917
5.79,0.74,56.0,4.38,23.0,-0.18128498704873408,0.20460936622885928
9.21,0.65,96.0,7.41,85.0,-0.4781377892590992,0.31838285853665926
5.95,2.72,16.0,6.16,30.0,0.18126702811728723,0.004028190887723326
5.01,2.69,65.0,7.5,78.0,-0.020327516943767776,0.07171896627097141
8.4,2.7600000000000002,19.0,7.42,27.0,0.15502353312177064,0.03479035639169936
2.91,2.3000000000000003,10.0,4.64,33.0,0.18314135992328318,-0.033936065104030355
12.65,0.32,41.0,11.63,60.0,-0.8382034886719154,0.07443138976746333
0.12,2.64,39.0,11.85,75.0,0.21292758882941354,-0.20475549900438672
8.08,0.29,88.0,2.94,19.0,-0.4354225542044361,0.42969059472359517
7.63,0.9400000000000001,69.0,10.09,11.0,-0.26609402325677056,0.32057334895436007
5.92,1.0,79.0,12.56,83.0,-0.2626060894679769,-0.5600000000000005
12.74,2.06,75.0,4.73,41.0,-0.9733058642336552,0.4021095374785535
0.46,1.9000000000000001,18.0,8.3,32.0,0.1534139737210623,-0.0612047078351452
12.17,3.31,25.0,11.620000000000001,77.0,-0.16999999999999993,-0.08282647144031863
10.57,1.77,10.0,11.38,54.0,0.10482740611525365,-0.10922827810441937
