qe,qs,x,ref,erro,s,value_s,a,value_a,next_s,value_next_s,reward,done
3.517249414539533,3.5086992374643176,3.0777425251970625,6.0,-2.9222574748029375,908,-2.92,87,0.87,908,-2.92,0,False
3.530039164916365,3.5094460755664887,3.079052796186622,6.0,-2.920947203813378,908,-2.92,87,0.87,908,-2.92,0,False
3.540337111993447,3.5105268676150083,3.080949515227327,6.0,-2.919050484772673,908,-2.92,87,0.87,908,-2.92,0,False
3.551386679877811,3.511955927353584,3.083458335896869,6.0,-2.916541664103131,908,-2.92,87,0.87,908,-2.92,0,False
3.5442439377232056,3.5130847271002956,3.0854408591119684,6.0,-2.9145591408880316,908,-2.92,87,0.87,909,-2.91,0,False
4.026124616983669,3.530975078928966,3.116943058982218,6.0,-2.883056941017782,909,-2.91,99,0.99,912,-2.88,0,False
0.3659947738817059,3.419121526783787,2.9226289196505078,6.0,-3.0773710803494922,912,-2.88,9,0.09,892,-3.08,0,False
4.300635593583373,3.4506439874224695,2.976730530085962,6.0,-3.023269469914038,892,-3.08,106,1.06,898,-3.02,0,False
4.405730068988691,3.4844595259064657,3.0353588097101776,6.0,-2.9646411902898224,898,-3.02,109,1.09,904,-2.96,0,False
4.35329486459341,3.514943377070019,3.0887015393125976,6.0,-2.9112984606874024,904,-2.96,108,1.08,909,-2.91,0,False
3.988388487420811,3.5314449386387423,3.117772877403034,6.0,-2.882227122596966,909,-2.91,99,0.99,912,-2.88,0,False
3.9472601171243866,3.5458765206588367,3.1433074754561243,6.0,-2.8566925245438757,912,-2.88,98,0.98,914,-2.86,0,False
3.2788131265997587,3.5366115469779587,3.1269071342147883,6.0,-2.8730928657852117,914,-2.86,81,0.81,913,-2.87,0,False
3.494778857444566,3.5351593574679954,3.1243381993151638,6.0,-2.8756618006848362,913,-2.87,86,0.86,912,-2.88,0,False
3.9829435579209314,3.5506839818592275,3.1518364044631473,6.0,-2.8481635955368527,912,-2.88,98,0.98,915,-2.85,0,False
3.5878116386717798,3.551966698094409,3.1541166134828638,6.0,-2.8458833865171362,915,-2.85,88,0.88,915,-2.85,0,False
3.592391943985167,3.5533643375529866,3.1565992650158385,6.0,-2.8434007349841615,915,-2.85,88,0.88,916,-2.84,0,False
0.9527224026022076,3.4623029540280816,2.996908987102909,6.0,-3.003091012897091,916,-2.84,23,0.23,900,-3.0,0,False
3.591217929487559,3.466884806454322,3.004821691027817,6.0,-2.995178308972183,900,-3.0,87,0.87,900,-3.0,0,False
1.485956249897297,3.3960073100531223,2.883234094946033,6.0,-3.116765905053967,900,-3.0,36,0.36,888,-3.12,0,False
4.1238462743205,3.422223347866659,2.927898485853767,6.0,-3.072101514146233,888,-3.12,100,1.0,893,-3.07,0,False
4.239944874493511,3.451429753054851,2.9780867334651306,6.0,-3.0219132665348694,893,-3.07,103,1.03,898,-3.02,0,False
4.4710501494029655,3.4875108644477475,3.0406769496639585,6.0,-2.9593230503360415,898,-3.02,109,1.09,904,-2.96,0,False
4.416087082304688,3.5200534564970054,3.0976885921472084,6.0,-2.9023114078527916,904,-2.96,108,1.08,910,-2.9,0,False
4.225765725856717,3.544589049338086,3.1410236339696525,6.0,-2.8589763660303475,910,-2.9,104,1.04,914,-2.86,0,False
3.308622052562597,3.53640011692473,3.1265330541407796,6.0,-2.8734669458592204,914,-2.86,81,0.81,913,-2.87,0,False
3.5254885013537414,3.5360219809419395,3.1258629348031244,6.0,-2.8741370651968756,913,-2.87,86,0.86,913,-2.87,0,False
3.5243102042206096,3.5356151690710735,3.12514373364524,6.0,-2.87485626635476,913,-2.87,86,0.86,913,-2.87,0,False
3.5231627830369723,3.5351825818655005,3.1243790544267407,6.0,-2.8756209455732593,913,-2.87,86,0.86,912,-2.88,0,False
4.014331885951005,3.5517918858025808,3.153803438939755,6.0,-2.846196561060245,912,-2.88,98,0.98,915,-2.85,0,False
3.6088188671555326,3.5537620188082095,3.1573057502272284,6.0,-2.8426942497727716,915,-2.85,88,0.88,916,-2.84,0,False
3.739175590335423,3.5601651533932737,3.1686927957762943,6.0,-2.8313072042237057,916,-2.84,91,0.91,917,-2.83,0,False
4.396209491080179,3.5888974238247737,3.22004135269081,6.0,-2.77995864730919,917,-2.83,108,1.08,922,-2.78,0,False
4.106651375212546,3.6065762634045213,3.251844996503665,6.0,-2.748155003496335,922,-2.78,101,1.01,925,-2.75,0,False
3.7875300988147913,3.612734257621749,3.2629610811682177,6.0,-2.7370389188317823,925,-2.75,93,0.93,926,-2.74,0,False
3.6293482297821287,3.613298681424079,3.2639817351513534,6.0,-2.7360182648486466,926,-2.74,89,0.89,926,-2.74,0,False
3.632862617267062,3.613963863347228,3.2651835776757183,6.0,-2.7348164223242817,926,-2.74,89,0.89,927,-2.73,0,False
3.2431557557319457,3.6013343524289088,3.242404751368228,6.0,-2.757595248631772,927,-2.73,79,0.79,924,-2.76,0,False
1.347570886390117,3.5236114029865693,3.103978372776422,6.0,-2.896021627223578,924,-2.76,33,0.33,910,-2.9,0,False
4.239146654469235,3.5484762057582415,3.1479165533121054,6.0,-2.8520834466878946,910,-2.9,104,1.04,915,-2.85,0,False
3.5926387851428614,3.5500023150098716,3.1506288204873045,6.0,-2.8493711795126955,915,-2.85,88,0.88,915,-2.85,0,False
3.584317099137221,3.5511893297674573,3.1527361895666317,6.0,-2.8472638104333683,915,-2.85,88,0.88,915,-2.85,0,False
3.590060310778614,3.552533536855322,3.1551233787641397,6.0,-2.8448766212358603,915,-2.85,88,0.88,916,-2.84,0,False
3.713755776350241,3.5581038144497077,3.1650246547073557,6.0,-2.8349753452926443,916,-2.84,91,0.91,917,-2.83,0,False
4.386412201369502,3.586587424085826,3.215897544326336,6.0,-2.784102455673664,917,-2.83,108,1.08,922,-2.78,0,False
4.096531751933358,3.6040111894473066,3.2472211132461655,6.0,-2.7527788867538345,922,-2.78,101,1.01,925,-2.75,0,False
3.7751033753940115,3.609837850477328,3.257731262005817,6.0,-2.742268737994183,925,-2.75,93,0.93,926,-2.74,0,False
3.4134963096039277,3.6031479747475297,3.245670113477021,6.0,-2.754329886522979,926,-2.74,86,0.86,925,-2.75,0,False
3.7002451109454193,3.6064582210044893,3.251634614118088,6.0,-2.748365385881912,925,-2.75,93,0.93,925,-2.75,0,False
3.7088665897594746,3.609945254376121,3.257925542296887,6.0,-2.742074457703113,925,-2.75,93,0.93,926,-2.74,0,False
3.5617220063325106,3.6083031440730955,3.2549632032891322,6.0,-2.7450367967108678,926,-2.74,89,0.89,925,-2.75,0,False
3.729755799130208,3.6124367488761338,3.2624240568753957,6.0,-2.7375759431246043,925,-2.75,93,0.93,926,-2.74,0,False
3.566890578481364,3.610886788956772,3.2596261414374608,6.0,-2.7403738585625392,926,-2.74,89,0.89,926,-2.74,0,False
3.564510985334226,3.6093084933190713,3.256777246349415,6.0,-2.743222753650585,926,-2.74,89,0.89,926,-2.74,0,False
3.5764224109115834,3.608188927486151,3.254757044060423,6.0,-2.745242955939577,926,-2.74,89,0.89,925,-2.75,0,False
3.738951294027336,3.6126392650462797,3.2627897983739818,6.0,-2.7372102016260182,925,-2.75,93,0.93,926,-2.74,0,False
3.5841865297440654,3.611670951296802,3.2610419463056215,6.0,-2.7389580536943785,926,-2.74,89,0.89,926,-2.74,0,False
3.593325006378744,3.611046838985124,3.25991493507088,6.0,-2.74008506492912,926,-2.74,89,0.89,926,-2.74,0,False
3.604361114767825,3.610819397616499,3.259504223038315,6.0,-2.740495776961685,926,-2.74,89,0.89,926,-2.74,0,False
3.6150657193723776,3.610963917023937,3.2597650755649465,6.0,-2.7402349244350535,926,-2.74,89,0.89,926,-2.74,0,False
3.623294774359644,3.6113834729134138,3.2605225689496864,6.0,-2.7394774310503136,926,-2.74,89,0.89,926,-2.74,0,False
3.632360044455511,3.6120970705614215,3.2618111790215947,6.0,-2.7381888209784053,926,-2.74,89,0.89,926,-2.74,0,False
3.6411598135760017,3.6130855076467507,3.2635965377233416,6.0,-2.7364034622766584,926,-2.74,89,0.89,926,-2.74,0,False
3.6346837666995517,3.6138198568810354,3.2649233529351416,6.0,-2.7350766470648584,926,-2.74,89,0.89,926,-2.74,0,False
3.644488930626503,3.6148624314151037,3.2668074059233367,6.0,-2.7331925940766633,926,-2.74,89,0.89,927,-2.73,0,False
3.2474810855774057,3.602352865071894,3.244238987776624,6.0,-2.755761012223376,927,-2.73,79,0.79,924,-2.76,0,False
4.226833002025558,3.623591843920112,3.2826008217763953,6.0,-2.7173991782236047,924,-2.76,103,1.03,928,-2.72,0,False
3.1792830058808605,3.608491557646341,3.2553058047772137,6.0,-2.7446941952227863,928,-2.72,77,0.77,926,-2.74,0,False
3.6833916178640274,3.611042672099693,3.2599068236696462,6.0,-2.7400931763303538,926,-2.74,89,0.89,926,-2.74,0,False
3.682240005190293,3.6134642661563916,3.2642805531239762,6.0,-2.7357194468760238,926,-2.74,89,0.89,926,-2.74,0,False
3.6811191704448754,3.615763896802948,3.268436714413208,6.0,-2.731563285586792,926,-2.74,89,0.89,927,-2.73,0,False
3.276286991633013,3.604208715178241,3.247582366901638,6.0,-2.752417633098362,927,-2.73,79,0.79,925,-2.75,0,False
3.8608482840793323,3.6129484373112652,3.2633475251777315,6.0,-2.7366524748222685,925,-2.75,93,0.93,926,-2.74,0,False
