x1,qe,vc,x2,vs,diff1,diff2
0.06,0.89,27.0,0.91,7.0,0.21003380310781977,0.051436175222595915
11.14,0.19,0.0,0.53,20.0,0.05937499999999929,-0.0445241243012206
3.14,0.6900000000000001,71.0,5.09,0.0,-0.5353973601422437,0.7440132046385548
5.79,0.74,56.0,4.38,23.0,-0.5888698875641607,0.6596994471097375
9.21,0.65,96.0,7.41,85.0,-1.5381003094165555,0.9781224254645711
5.95,2.72,16.0,6.16,30.0,0.6000039652873106,0.018356476798542687
5.01,2.69,65.0,7.5,78.0,-0.06565461034662778,0.23293133822911827
8.4,2.7600000000000002,19.0,7.42,27.0,0.5131088497525145,0.11967632116338045
2.91,2.3000000000000003,10.0,4.64,33.0,0.6067395751470595,-0.1077526321700848
12.65,0.32,41.0,11.63,60.0,-1.2708286368121975,0.23682461282062484
0.12,2.64,39.0,11.85,75.0,0.6633504071243727,-0.6215596748101433
8.08,0.29,88.0,2.94,19.0,-1.401666859454072,1.3650426256950765
7.63,0.9400000000000001,69.0,10.09,11.0,-0.8626699267298799,1.0375046177686258
5.92,1.0,79.0,12.56,83.0,-0.8441616148408357,-0.5600000000000005
12.74,2.06,75.0,4.73,41.0,-1.5029728980553383,1.3072481505288076
0.46,1.9000000000000001,18.0,8.3,32.0,0.499291030339212,-0.188607610601494
12.17,3.31,25.0,11.620000000000001,77.0,-0.16999999999999993,-0.2711850304297112
10.57,1.77,10.0,11.38,54.0,0.34826060310124163,-0.359523590500352
10.46,3.49,82.0,1.8900000000000001,95.0,-0.5448308363058221,1.1642049135881405
4.8500000000000005,3.71,46.0,1.9100000000000001,7.0,0.5096956267658035,0.6203593375420149
5.61,0.14,53.0,1.8800000000000001,78.0,-0.7149629500710049,0.40148814384004505
1.76,0.9400000000000001,68.0,12.91,22.0,-0.24905800696094493,-0.9100000000000001
0.09,0.25,96.0,4.47,3.0,-0.05950528542042734,0.11021091095514102
8.6,1.82,46.0,9.91,82.0,-0.26771512250161145,0.02785175265624318
3.0500000000000003,2.85,92.0,12.67,62.0,-0.10466394749583774,-0.6699999999999999
8.790000000000001,2.66,99.0,4.32,43.0,-0.9517121024474324,1.4705491908581783
7.66,2.1,90.0,8.84,55.0,-0.8554727110800231,0.9776203308556042
2.0100000000000002,3.21,96.0,0.01,99.0,0.13758735287038082,0.6896341191948056
0.76,2.87,69.0,5.22,90.0,0.46627879765343727,-0.19538702566631994
0.33,1.79,96.0,9.06,11.0,0.17038633659944363,0.2925250696906403
6.0,1.84,30.0,9.74,97.0,0.1135409561602243,-0.47245249142663326
11.0,3.87,45.0,0.39,63.0,0.2708162360406501,0.767649094369446
10.13,0.32,1.0,0.29,60.0,0.0800684495257773,-0.07406405339240388
7.23,3.23,45.0,5.4,6.0,0.24666230058287208,0.7190013093422802
12.85,1.76,68.0,3.59,77.0,-1.5698028333277758,0.9714756028159401
1.35,0.85,44.0,12.27,51.0,-0.05081009427631278,-0.45776246408012966
3.47,1.52,8.0,11.46,41.0,0.3793538997087502,-0.3343985053670977
6.0600000000000005,0.16,82.0,7.45,77.0,-1.148654215011394,0.5174981746826033
2.13,1.36,86.0,3.64,13.0,-0.32747824599136344,0.6652131020106533
