x1,qe,vc,x2,vs,diff1,diff2
3.02,3.41,63.0,2.52,19.0,0.07541802541124154,0.11947840941483845
8.66,3.99,3.0,11.86,21.0,0.23826397728744197,-0.03398169790909833
0.91,1.92,87.0,0.67,46.0,0.01580569785745234,0.0804107821338571
11.63,2.35,32.0,12.09,54.0,0.010433237936618767,-0.08999999999999986
1.75,1.22,100.0,1.19,36.0,-0.08701983420596049,0.1359606778734832
1.94,1.42,78.0,3.79,24.0,-0.046234647811761675,0.10477068477138163
6.72,2.33,3.0,1.31,16.0,0.13585491566880314,-0.001623091781401076
7.61,0.87,40.0,8.76,14.0,-0.08317798047205027,0.11119559903143639
3.3200000000000003,0.22,51.0,12.19,74.0,-0.1015129041091285,-0.1899999999999995
8.11,3.56,96.0,9.700000000000001,91.0,-0.11798639485347806,0.16136970996810085
11.98,3.46,99.0,5.45,58.0,-0.21018530543967806,0.33862168623216693
4.1,3.11,65.0,3.4,97.0,0.02955913017901679,0.052888951157798125
5.4,3.67,24.0,10.540000000000001,30.0,0.15914959767620562,0.009846762946306598
6.3500000000000005,3.69,65.0,9.96,81.0,0.02567407996105775,0.04520584977333719
9.32,1.52,38.0,9.75,66.0,-0.049817004096174955,0.015767927133097714
6.640000000000001,1.4000000000000001,7.0,9.74,52.0,0.06489780843142778,-0.07856707525699669
5.2700000000000005,1.94,96.0,8.68,14.0,-0.15222004838813152,0.2455092351761312
1.01,2.54,99.0,10.17,69.0,0.033351319736423024,-0.01108549400083092
2.93,2.99,22.0,1.36,58.0,0.13924692993371757,0.005857971110244664
1.07,0.11,16.0,0.4,63.0,-0.013746464104299028,-0.004281000923696765
3.71,3.66,39.0,8.83,28.0,0.13400623287660007,0.04351407885458691
1.86,0.8,79.0,8.53,43.0,-0.08315116142171819,0.05301830152249387
5.12,2.45,56.0,6.46,40.0,-0.00522638707107248,0.0945376339056967
0.62,2.3000000000000003,1.0,9.18,100.0,0.1427111087158749,-0.18730313778540086
9.13,0.89,82.0,0.54,10.0,-0.25193524525656485,0.30022765227916426
10.27,2.66,81.0,1.51,9.0,-0.15697789078961932,0.31472405799499614
6.69,2.87,10.0,2.11,64.0,0.1468668366313679,-0.02524456257473373
2.71,1.56,2.0,11.94,4.0,0.09334923605418943,-0.004451969633802122
6.46,1.6500000000000001,25.0,11.790000000000001,39.0,0.023625693165075567,-0.004116313006807815
8.27,2.71,52.0,2.5100000000000002,67.0,-0.017450621485817663,0.11959883043806707
12.96,1.56,71.0,5.21,30.0,-0.9600000000000009,0.2734139440887251
0.06,0.89,27.0,0.91,7.0,0.04592253906430449,0.0068020420478202
11.14,0.19,0.0,0.53,20.0,0.011874999999999858,-0.009061074860292062
3.14,0.6900000000000001,71.0,5.09,0.0,-0.11271452857480968,0.15441676690015882
5.79,0.74,56.0,4.38,23.0,-0.12129948461746931,0.13634548275648495
9.21,0.65,96.0,7.41,85.0,-0.3203547432147946,0.21214074338192024
5.95,2.72,16.0,6.16,30.0,0.12096746334274844,0.0027372177974056555
5.01,2.69,65.0,7.5,78.0,-0.013613144038387759,0.0478942568717482
8.4,2.7600000000000002,19.0,7.42,27.0,0.10345430983421977,0.023253653436282384
2.91,2.3000000000000003,10.0,4.64,33.0,0.12220413950826847,-0.02260687691846286
12.65,0.32,41.0,11.63,60.0,-0.6500000000000004,0.053079929127303416
0.12,2.64,39.0,11.85,75.0,0.14373906318672802,-0.13586606881105823
8.08,0.29,88.0,2.94,19.0,-0.29170517242907223,0.28613309789565466
7.63,0.9400000000000001,69.0,10.09,11.0,-0.17809432364101596,0.2134933044949996
5.92,1.0,79.0,12.56,83.0,-0.17596857851964476,-0.5600000000000005
12.74,2.06,75.0,4.73,41.0,-0.7400000000000002,0.27539131959938246
0.46,1.9000000000000001,18.0,8.3,32.0,0.10266546232629065,-0.04067134311130971
12.17,3.31,25.0,11.620000000000001,77.0,-0.16999999999999993,-0.05440297489783319
10.57,1.77,10.0,11.38,54.0,0.06991842652884017,-0.07289682807366304
10.46,3.49,82.0,1.8900000000000001,95.0,-0.11248451096512291,0.24548548972951645
4.8500000000000005,3.71,46.0,1.9100000000000001,7.0,0.10456283094831775,0.12184655948720025
5.61,0.14,53.0,1.8800000000000001,78.0,-0.1471302218572923,0.08723029243687597
1.76,0.9400000000000001,68.0,12.91,22.0,-0.05315486745849496,-0.9100000000000001
0.09,0.25,96.0,4.47,3.0,-0.018397883165524875,0.028117303434094687
8.6,1.82,46.0,9.91,82.0,-0.05460471449699078,0.006723735161100919
3.0500000000000003,2.85,92.0,12.67,62.0,-0.022343565062899362,-0.6699999999999999
8.790000000000001,2.66,99.0,4.32,43.0,-0.19855610300516524,0.30588836742863723
7.66,2.1,90.0,8.84,55.0,-0.1782878740265419,0.20492309122059638
2.0100000000000002,3.21,96.0,0.01,99.0,0.02986090129315544,0.153856614417384
0.76,2.87,69.0,5.22,90.0,0.10170252386369416,-0.04815425165837972
0.33,1.79,96.0,9.06,11.0,0.04081579399048069,0.052352933900687404
6.0,1.84,30.0,9.74,97.0,0.023055836474441094,-0.09670105717094479
11.0,3.87,45.0,0.39,63.0,0.055081176463449566,0.1600536102902279
10.13,0.32,1.0,0.29,60.0,0.016019969825888936,-0.01593117213194456
7.23,3.23,45.0,5.4,6.0,0.05036274661306006,0.14300292223681055
12.85,1.76,68.0,3.59,77.0,-0.8499999999999996,0.20988855035280451
1.35,0.85,44.0,12.27,51.0,-0.010652496763782882,-0.2699999999999996
3.47,1.52,8.0,11.46,41.0,0.07627003087035478,-0.0677873124001529
6.0600000000000005,0.16,82.0,7.45,77.0,-0.23980317070164237,0.11541795701706015
2.13,1.36,86.0,3.64,13.0,-0.0705760832729263,0.13862134264797676
8.870000000000001,1.18,72.0,3.2,97.0,-0.19282711353690907,0.15535457243472806
7.05,2.84,25.0,3.17,69.0,0.09424854389841553,0.006704726376972392
9.540000000000001,2.5,40.0,10.48,64.0,0.0018082203334550684,0.024880868954895163
4.0600000000000005,2.5300000000000002,21.0,12.32,32.0,0.1048921815608157,-0.3200000000000003
9.41,2.08,86.0,4.0,40.0,-0.19801793676342783,0.2754238526674744
3.46,3.61,18.0,6.890000000000001,7.0,0.1832227630727905,0.03144930903658327
9.83,3.08,26.0,7.930000000000001,66.0,0.09036926660613531,-0.01374662930400472
7.5,1.71,31.0,1.36,89.0,0.0007510944922746177,0.04077153711383952
1.17,0.58,31.0,11.85,81.0,-0.0056140627332577075,-0.1319700815712732
11.43,3.5,22.0,8.61,42.0,0.1255222622265162,0.01642029645375409
11.540000000000001,3.49,24.0,6.36,28.0,0.11595750299747465,0.05818829686234217
12.69,3.1,72.0,1.52,8.0,-0.6899999999999995,0.31253954746089474
5.0200000000000005,2.88,55.0,0.23,38.0,0.025765189875310845,0.14143266616585412
6.0600000000000005,2.34,93.0,2.74,68.0,-0.13827815636060947,0.21119787582572958
4.12,3.06,36.0,9.68,60.0,0.09936046127074327,-0.024164827124087296
12.450000000000001,3.71,15.0,11.36,51.0,-0.45000000000000107,-0.04074014022940098
11.75,3.5100000000000002,35.0,2.6,35.0,0.06918677673806073,0.11474914729766672
9.19,2.57,53.0,7.72,8.0,-0.039992902343430003,0.18642348776136242
11.47,3.63,56.0,10.52,59.0,-0.010144203793954532,0.1170321240089347
6.24,0.59,74.0,10.0,88.0,-0.19239401301052084,0.05331751391268469
10.14,1.18,35.0,6.84,48.0,-0.06533980179374232,0.060232324901592804
10.8,0.8,30.0,12.280000000000001,78.0,-0.07302881040878617,-0.28000000000000114
3.72,1.24,28.0,11.41,29.0,0.00994926016023312,0.006363351007943052
10.36,0.86,52.0,2.88,47.0,-0.15468099481439346,0.15712161066908514
6.37,2.64,67.0,6.25,30.0,-0.04599238339181877,0.16343066065602319
8.15,3.86,15.0,5.49,79.0,0.18741539024984455,-0.061225760507158
