l,qe,qc,qs,x1,x2,NN_x1,NN_x2
0,2.0,0.7461708921311809,0.20528414177462784,0.1391917829056041,0.04214232388784046,0.012567886528891611,0.0413650136226728
1,2.0,2.0,1.0448054510081128,1.0,1.091618363510718,0.9710653283947915,1.0680750137851662
2,2.0,2.774792836954747,1.4585719196838718,1.9248690776774973,2.1274319973967173,1.9295635816639731,2.0947758573783095
3,2.0,3.3860986479985127,1.7764733265067687,2.8664163366342104,3.1558574408950983,2.8871484506392004,3.122571766546495
4,2.0,3.9073569864065862,2.044542120046119,3.8168599988224665,4.180152446881992,3.84315977922043,4.15268295154977
5,2.0,4.369468985905975,2.2807275367445823,4.773065153370846,5.2017180666161,4.798838471869778,5.183029537649213
6,2.0,4.788901326807185,2.4942549250567865,5.733394326173555,6.221307603519097,5.755498776145225,6.211838594380975
7,2.0,5.175659881252955,2.6906098052795673,6.696864143429962,7.239381098638702,6.718930119083654,7.230002600301188
8,2.0,5.536363019299159,2.873368033988787,7.662829206061967,8.256243834754294,7.681311626399474,8.244887226308593
9,2.0,5.875657764346124,3.0450140683296794,8.630838870018886,9.272110653686493,8.652514065105896,9.257270270955557
10,2.0,6.196955189626699,3.207357096869713,9.600563727955196,10.287139525349236,9.620370017281374,10.279168799620598
11,2.0,6.502846767376472,3.361763025884397,10.571754335807677,11.301450621700852,10.576966353187284,11.295107698854254
12,2.0,6.795356093597111,3.4730932424122085,11.544216419139142,12.0,11.530118178307111,11.946613673104329
