qe,qs,x,ref,erro,s,value_s,a,value_a,next_s,value_next_s,reward,done
4.0,3.5981999538239524,3.586436432135919,6.0,-2.413563567864081,956,-2.44,105,1.05,959,-2.41,0,False
2.56,3.383886420935623,3.534167207018086,6.0,-2.465832792981914,959,-2.41,64,0.64,953,-2.47,0,False
4.0,3.9133197606330383,3.539679437476759,6.0,-2.460320562523241,953,-2.47,106,1.06,954,-2.46,0,False
3.28,1.7917834217740816,3.633416521207626,6.0,-2.366583478792374,954,-2.46,82,0.82,963,-2.37,0,False
3.6,3.6579583640523965,3.6297364795876073,6.0,-2.3702635204123927,963,-2.37,90,0.9,963,-2.37,0,False
3.6,3.9138812574373674,3.609783008683534,6.0,-2.390216991316466,963,-2.37,90,0.9,961,-2.39,0,False
3.68,3.5382935725957574,3.618776435397054,6.0,-2.381223564602946,961,-2.39,92,0.92,962,-2.38,0,False
4.0,4.141855769869536,3.6097496115495824,6.0,-2.3902503884504176,962,-2.38,101,1.01,961,-2.39,0,False
3.68,3.8693965995684043,3.5977112235607533,6.0,-2.4022887764392467,961,-2.39,92,0.92,960,-2.4,0,False
3.88,4.052864536892048,3.5867142277205093,6.0,-2.4132857722794907,960,-2.4,97,0.97,959,-2.41,0,False
3.52,3.997934241973367,3.5563130844284827,6.0,-2.4436869155715173,959,-2.41,88,0.88,956,-2.44,0,False
4.0,3.1909342428062883,3.607586799518444,6.0,-2.392413200481556,956,-2.44,105,1.05,961,-2.39,0,False
3.68,3.204239347087312,3.6377354908907935,6.0,-2.3622645091092065,961,-2.39,92,0.92,964,-2.36,0,False
3.76,3.2192936811030615,3.6719976159057754,6.0,-2.3280023840942246,964,-2.36,94,0.94,967,-2.33,0,False
4.0,2.863667930256258,3.743876813080172,6.0,-2.256123186919828,967,-2.33,104,1.04,974,-2.26,0,False
3.68,3.5637397298259796,3.7512520678931875,6.0,-2.2487479321068125,974,-2.26,92,0.92,975,-2.25,0,False
3.92,2.891240348861696,3.8163189733523755,6.0,-2.1836810266476245,975,-2.25,98,0.98,982,-2.18,0,False
4.0,3.6062566821634494,3.841292924567032,6.0,-2.158707075432968,982,-2.18,101,1.01,984,-2.16,0,False
3.56,3.4143586276708855,3.850522868342986,6.0,-2.149477131657014,984,-2.16,89,0.89,985,-2.15,0,False
4.0,3.8126866285143732,3.862412517235017,6.0,-2.137587482764983,985,-2.15,103,1.03,986,-2.14,0,False
4.0,3.5889008982855195,3.88848080573545,6.0,-2.11151919426455,986,-2.14,100,1.0,989,-2.11,0,False
4.0,3.830809954974425,3.899219285713635,6.0,-2.100780714286365,989,-2.11,102,1.02,990,-2.1,0,False
3.6,4.014644132539078,3.872880110663591,6.0,-2.127119889336409,990,-2.1,90,0.9,987,-2.13,0,False
3.4,3.9950042691829566,3.835081318386621,6.0,-2.164918681613379,987,-2.13,85,0.85,984,-2.16,0,False
