l,qe,qc,qs,x1,x2,NN_x1,NN_x2
0,2.0,0.8412270782760752,0.2495696113997298,0.17691244817419413,0.06228576452066697,0.0781351832609468,0.10871769157125666
1,2.0,2.0,1.0588896309818474,1.0,1.1212470936056644,1.0150854533740776,1.1307161083929618
2,2.0,2.757482475688674,1.4723105387099653,1.9009280027498305,2.1676982110004674,1.941866651094951,2.1612335498041344
3,2.0,3.3606536774140507,1.7902480231515583,2.823499049414219,3.2049878930710944,2.8687527890267672,3.1915867969730236
4,2.0,3.876972877114795,2.058399712218521,3.7577304883490052,4.237009295910271,3.798895651770794,4.217521768876229
5,2.0,4.3356876387345595,2.2946692554324004,4.69954765316181,5.2655069206710605,4.729705132726155,5.242534605125909
6,2.0,4.752602661255789,2.5082734720625663,5.64680883788924,6.291435745564671,5.6595136005002695,6.278694304765295
7,2.0,5.137400983406355,2.704696858139533,6.598223028837518,7.315385034070416,6.613564074241299,7.312754063242582
8,2.0,5.496522533617054,2.8875159798487724,7.552940789077607,8.337748477343705,7.58332803911331,8.33383086849538
9,2.0,5.834506715046023,3.0592163244049893,8.510367934867181,9.358804466139736,8.539629960985847,9.364657645761467
10,2.0,6.154695370549994,3.2216080584013413,9.470069543140191,10.378758431278946,9.481540537492112,10.398508271139368
11,2.0,6.459633167631382,3.376057927931047,10.431715916574866,11.397767084385764,10.429495486413419,11.412975466571716
12,2.0,6.7513107825196945,3.475921798824591,11.395050056912025,12.0,11.393833192435633,11.972798905721572
