x1,qe,vc,x2,vs,diff1,diff2
3.02,3.41,63.0,2.52,19.0,0.030371230446346598,0.04743995703048709
8.66,3.99,3.0,11.86,21.0,0.09532369287308029,-0.013636525939670463
0.91,1.92,87.0,0.67,46.0,0.006430148929011392,0.03211750398726432
11.63,2.35,32.0,12.09,54.0,0.004180637507959162,-0.08999999999999986
1.75,1.22,100.0,1.19,36.0,-0.03530796179337514,0.05554149866574987
1.94,1.42,78.0,3.79,24.0,-0.018689369397013378,0.04234509327379943
6.72,2.33,3.0,1.31,16.0,0.05435370299724873,-0.0006734823158065506
7.61,0.87,40.0,8.76,14.0,-0.03336190761823765,0.04467913424256231
3.3200000000000003,0.22,51.0,12.19,74.0,-0.04081993148356222,-0.1899999999999995
8.11,3.56,96.0,9.700000000000001,91.0,-0.047494089453881116,0.06532015213199394
11.98,3.46,99.0,5.45,58.0,-0.08452714548553075,0.1366625497084648
4.1,3.11,65.0,3.4,97.0,0.011894745460267586,0.021118644897154315
5.4,3.67,24.0,10.540000000000001,30.0,0.0637823034661249,0.0036985208886530785
6.3500000000000005,3.69,65.0,9.96,81.0,0.010319280144171827,0.018027092575147563
9.32,1.52,38.0,9.75,66.0,-0.0199733784776992,0.006412587779747625
6.640000000000001,1.4000000000000001,7.0,9.74,52.0,0.025972316324226696,-0.031502339857961914
5.2700000000000005,1.94,96.0,8.68,14.0,-0.06136912539550465,0.09920657815288969
1.01,2.54,99.0,10.17,69.0,0.013585520306631071,-0.004923987878330038
2.93,2.99,22.0,1.36,58.0,0.05583157105421854,0.0020912487383915046
1.07,0.11,16.0,0.4,63.0,-0.005514585977368425,-0.001696670008103418
3.71,3.66,39.0,8.83,28.0,0.053804383272356926,0.01702028383105869
1.86,0.8,79.0,8.53,43.0,-0.033626010129232276,0.021964798299684674
5.12,2.45,56.0,6.46,40.0,-0.0021002630911306497,0.03788999656933978
0.62,2.3000000000000003,1.0,9.18,100.0,0.057097369468868564,-0.0751794572777893
9.13,0.89,82.0,0.54,10.0,-0.1012905164746094,0.12125931288812697
10.27,2.66,81.0,1.51,9.0,-0.06308996097329356,0.1265684242555356
6.69,2.87,10.0,2.11,64.0,0.05878910828374195,-0.010223924214351143
2.71,1.56,2.0,11.94,4.0,0.03734813306874418,-0.0017977877990169588
6.46,1.6500000000000001,25.0,11.790000000000001,39.0,0.009467694835723073,-0.001683024730876781
8.27,2.71,52.0,2.5100000000000002,67.0,-0.007003935029549879,0.04807434621194284
12.96,1.56,71.0,5.21,30.0,-0.9600000000000009,0.11015323331695903
0.06,0.89,27.0,0.91,7.0,0.018696582699044575,0.002116739886240171
11.14,0.19,0.0,0.53,20.0,0.004749999999999588,-0.0036338049446269505
3.14,0.6900000000000001,71.0,5.09,0.0,-0.045427703550388276,0.06244945216477671
5.79,0.74,56.0,4.38,23.0,-0.048732666934519386,0.05501905706869881
9.21,0.65,96.0,7.41,85.0,-0.12890871834894568,0.08663311879309887
5.95,2.72,16.0,6.16,30.0,0.04844622342933835,0.0009781308939809108
5.01,2.69,65.0,7.5,78.0,-0.005474943548214206,0.01926783258731568
8.4,2.7600000000000002,19.0,7.42,27.0,0.04143245085050573,0.009208949288817436
2.91,2.3000000000000003,10.0,4.64,33.0,0.04893487246657635,-0.009161488751448843
12.65,0.32,41.0,11.63,60.0,-0.6500000000000004,0.02154710487780065
0.12,2.64,39.0,11.85,75.0,0.05847596542493147,-0.05623016793947855
8.08,0.29,88.0,2.94,19.0,-0.11736562391949157,0.1159354659335814
7.63,0.9400000000000001,69.0,10.09,11.0,-0.07157339909277116,0.08609552512313456
5.92,1.0,79.0,12.56,83.0,-0.070819254099729,-0.5600000000000005
12.74,2.06,75.0,4.73,41.0,-0.7400000000000002,0.11099450992442161
0.46,1.9000000000000001,18.0,8.3,32.0,0.04126085804868701,-0.016664223518256804
12.17,3.31,25.0,11.620000000000001,77.0,-0.16999999999999993,-0.021911756526234782
10.57,1.77,10.0,11.38,54.0,0.02798347610224461,-0.029234702297383564
10.46,3.49,82.0,1.8900000000000001,95.0,-0.045208353214666985,0.0992386441909534
4.8500000000000005,3.71,46.0,1.9100000000000001,7.0,0.0419881882550337,0.04843721187850325
5.61,0.14,53.0,1.8800000000000001,78.0,-0.0591006567465957,0.035571638437304154
1.76,0.9400000000000001,68.0,12.91,22.0,-0.021467972863535634,-0.9100000000000001
0.09,0.25,96.0,4.47,3.0,-0.007827820094136087,0.012172280437765082
8.6,1.82,46.0,9.91,82.0,-0.02190624150614795,0.002824367703464503
3.0500000000000003,2.85,92.0,12.67,62.0,-0.009025951489082473,-0.6699999999999999
8.790000000000001,2.66,99.0,4.32,43.0,-0.07992270447680916,0.12358598428266099
7.66,2.1,90.0,8.84,55.0,-0.07175265902990446,0.08298295930566191
