x1,qe,vc,x2,vs,diff1,diff2
3.02,3.41,63.0,2.52,19.0,0.037921286881475336,0.05937391484479804
8.66,3.99,3.0,11.86,21.0,0.11915083591778242,-0.017036492358490918
0.91,1.92,87.0,0.67,46.0,0.008014968585766669,0.04015710577893228
11.63,2.35,32.0,12.09,54.0,0.005224265623123614,-0.08999999999999986
1.75,1.22,100.0,1.19,36.0,-0.044030392738426904,0.06918378923741209
1.94,1.42,78.0,3.79,24.0,-0.023320823455869055,0.05283979506383929
6.72,2.33,3.0,1.31,16.0,0.06793967922122768,-0.0008367832510276507
7.61,0.87,40.0,8.76,14.0,-0.041683474163940915,0.05580701190701198
3.3200000000000003,0.22,51.0,12.19,74.0,-0.05098015498100317,-0.1899999999999995
8.11,3.56,96.0,9.700000000000001,91.0,-0.05930506578809691,0.08148848832420974
11.98,3.46,99.0,5.45,58.0,-0.10556440886347218,0.17057410666118766
4.1,3.11,65.0,3.4,97.0,0.014853562402201703,0.026406206397294074
5.4,3.67,24.0,10.540000000000001,30.0,0.07970227686648457,0.004673490592097096
6.3500000000000005,3.69,65.0,9.96,81.0,0.012888725574353721,0.022545494019308165
9.32,1.52,38.0,9.75,66.0,-0.02495701132600381,0.007993713080011844
6.640000000000001,1.4000000000000001,7.0,9.74,52.0,0.03246264386951214,-0.03936217550033305
5.2700000000000005,1.94,96.0,8.68,14.0,-0.0766109815491074,0.12379862025639987
1.01,2.54,99.0,10.17,69.0,0.016930202794256166,-0.006050866304597946
2.93,2.99,22.0,1.36,58.0,0.0697616535694392,0.0026671783451095443
1.07,0.11,16.0,0.4,63.0,-0.006889897272823964,-0.0021241570986965663
3.71,3.66,39.0,8.83,28.0,0.06721320623155291,0.02135632387031272
1.86,0.8,79.0,8.53,43.0,-0.04195618318372074,0.027297505381383758
5.12,2.45,56.0,6.46,40.0,-0.002623301266783784,0.047346839166031884
0.62,2.3000000000000003,1.0,9.18,100.0,0.07136897196100145,-0.09392038173523787
9.13,0.89,82.0,0.54,10.0,-0.1265055031102129,0.1513293276312484
10.27,2.66,81.0,1.51,9.0,-0.07880011566856915,0.15806851732664828
6.69,2.87,10.0,2.11,64.0,0.07347753799558188,-0.012753504690166562
2.71,1.56,2.0,11.94,4.0,0.04668340309887942,-0.0022436773455183356
6.46,1.6500000000000001,25.0,11.790000000000001,39.0,0.011830985065798494,-0.002096155820400014
8.27,2.71,52.0,2.5100000000000002,67.0,-0.008749975683249644,0.060043719190811196
12.96,1.56,71.0,5.21,30.0,-0.9600000000000009,0.13752704444422736
0.06,0.89,27.0,0.91,7.0,0.023298585452120407,0.002781954916270979
11.14,0.19,0.0,0.53,20.0,0.005937499999999929,-0.004540303055759809
3.14,0.6900000000000001,71.0,5.09,0.0,-0.05671331902900878,0.07791933675946794
5.79,0.74,56.0,4.38,23.0,-0.06087145529697846,0.06867344218940374
9.21,0.65,96.0,7.41,85.0,-0.1609760839078902,0.10792008837417466
5.95,2.72,16.0,6.16,30.0,0.06054540891762894,0.001247097612524506
5.01,2.69,65.0,7.5,78.0,-0.006837477551732363,0.02406174694143015
8.4,2.7600000000000002,19.0,7.42,27.0,0.051779977476833494,0.011530528558240327
2.91,2.3000000000000003,10.0,4.64,33.0,0.061157459037534334,-0.011426963688761838
12.65,0.32,41.0,11.63,60.0,-0.6500000000000004,0.026868127562480026
0.12,2.64,39.0,11.85,75.0,0.07287551429648625,-0.06985728401076408
8.08,0.29,88.0,2.94,19.0,-0.1465645955966055,0.1446100257132965
7.63,0.9400000000000001,69.0,10.09,11.0,-0.08939677232962762,0.10747376608462211
5.92,1.0,79.0,12.56,83.0,-0.08843402431695946,-0.5600000000000005
12.74,2.06,75.0,4.73,41.0,-0.7400000000000002,0.13856796614244615
0.46,1.9000000000000001,18.0,8.3,32.0,0.05153472627021899,-0.020745524369468527
12.17,3.31,25.0,11.620000000000001,77.0,-0.16999999999999993,-0.027358235660674524
10.57,1.77,10.0,11.38,54.0,0.03497598690015735,-0.036527530721963686
10.46,3.49,82.0,1.8900000000000001,95.0,-0.056465665783708374,0.1238282573213767
