l,qe,qc,qs,x1,x2,NN_x1,NN_x2
0,2.0,0.9207244201415689,0.2898464218200645,0.21192662462251427,0.0840115330839672,0.10917555869330749,0.08678768414538185
1,2.0,2.0,1.0725866408023939,1.0,1.150441798907296,1.0167247734899685,1.1319725145548505
2,2.0,2.7404541878721984,1.4855658859638554,1.877523456008946,2.206905786519745,1.924229800509104,2.1770319101037825
3,2.0,3.3354885975060014,1.8035393507279407,2.781372536308339,3.2527540131567356,2.8312924954403935,3.2208255029862887
4,2.0,3.8468402371580304,2.0717898232907914,3.6995465467843616,4.292312918401102,3.738341275885294,4.264627546435246
5,2.0,4.302130030620183,2.308161914939752,4.627082320136539,5.327611287815736,4.647314021774278,5.304177447690615
6,2.0,4.716504187732014,2.521860740657181,5.561354551623302,6.359781469157508,5.566176931624823,6.332758212420322
7,2.0,5.099322734254257,2.7183690013422046,6.500774679314318,7.389529910436223,6.519892739432199,7.36032670565297
8,2.0,5.456846434130169,2.90126387915229,7.444294816161796,8.417331986801976,7.486848102135781,8.377273845519106
9,2.0,5.793506391790262,3.073031996955606,8.391180612531324,9.443525550747506,8.430345979506379,9.417835968571314
10,2.0,6.112574677749066,3.235484654156251,9.340893801587592,10.468360848894704,9.366459842851864,10.459874223979611
11,2.0,6.41654873853975,3.3899895913562093,10.29302590192033,11.492029335584327,10.30977248427586,11.48183793629552
12,2.0,6.707386012837042,3.478667103087823,11.247258225167203,12.0,11.267916138201258,11.961824418786884
