x1,qe,vc,x2,vs,diff1,diff2
3.02,3.41,63.0,2.52,19.0,0.015219936120517197,0.023660432627850447
8.66,3.99,3.0,11.86,21.0,0.0476648748984676,-0.006825609727050264
0.91,1.92,87.0,0.67,46.0,0.0032333679577313257,0.016050336049532654
11.63,2.35,32.0,12.09,54.0,0.0020915445368991925,-0.08999999999999986
1.75,1.22,100.0,1.19,36.0,-0.017737813333056796,0.02796619691025315
1.94,1.42,78.0,3.79,24.0,-0.009377470686125378,0.02124607899664177
6.72,2.33,3.0,1.31,16.0,0.027178813231017784,-0.0003408058059235497
7.61,0.87,40.0,8.76,14.0,-0.016696087517678038,0.022373117284770316
3.3200000000000003,0.22,51.0,12.19,74.0,-0.02044578071697467,-0.1899999999999995
8.11,3.56,96.0,9.700000000000001,91.0,-0.02379715048747677,0.03278983066561736
11.98,3.46,99.0,5.45,58.0,-0.04233925973190189,0.06853511877572505
4.1,3.11,65.0,3.4,97.0,0.0059592964263170956,0.010552902086226723
5.4,3.67,24.0,10.540000000000001,30.0,0.03191167687929575,0.0018088424731033115
6.3500000000000005,3.69,65.0,9.96,81.0,0.005167954818420029,0.00900418626218169
9.32,1.52,38.0,9.75,66.0,-0.009994462621808253,0.0032239399916491607
6.640000000000001,1.4000000000000001,7.0,9.74,52.0,0.012988360837438151,-0.015763778109482374
5.2700000000000005,1.94,96.0,8.68,14.0,-0.030764996038081804,0.04977129401740932
1.01,2.54,99.0,10.17,69.0,0.006834440873451086,-0.0025463224816348884
2.93,2.99,22.0,1.36,58.0,0.027938103814871162,0.0010028220146827138
1.07,0.11,16.0,0.4,63.0,-0.002759962008068273,-0.0008456588152724875
3.71,3.66,39.0,8.83,28.0,0.026936113232241432,0.00844503044018019
1.86,0.8,79.0,8.53,43.0,-0.016874151759649125,0.011109524997991116
5.12,2.45,56.0,6.46,40.0,-0.0010517560504252899,0.018957544492216982
0.62,2.3000000000000003,1.0,9.18,100.0,0.028550900614428554,-0.03763295717083004
9.13,0.89,82.0,0.54,10.0,-0.05073139865583087,0.060826277612484825
10.27,2.66,81.0,1.51,9.0,-0.03159488946653077,0.06339811867956113
6.69,2.87,10.0,2.11,64.0,0.0294016414641316,-0.005133145350804114
2.71,1.56,2.0,11.94,4.0,0.018675479638860626,-0.0009017474841748196
6.46,1.6500000000000001,25.0,11.790000000000001,39.0,0.004736756519209351,-0.0008476225696494311
8.27,2.71,52.0,2.5100000000000002,67.0,-0.0035059260506162815,0.02407668733293189
12.96,1.56,71.0,5.21,30.0,-0.9600000000000009,0.05520840990426201
0.06,0.89,27.0,0.91,7.0,0.009408242831018918,0.0009434013404917563
11.14,0.19,0.0,0.53,20.0,0.002375000000000682,-0.0018184649723197444
3.14,0.6900000000000001,71.0,5.09,0.0,-0.022770939670073265,0.03133882512552688
5.79,0.74,56.0,4.38,23.0,-0.024401850426805538,0.027589928238201722
9.21,0.65,96.0,7.41,85.0,-0.06458223885894121,0.043614161634955906
5.95,2.72,16.0,6.16,30.0,0.024233022073839372,0.0004694650998660066
5.01,2.69,65.0,7.5,78.0,-0.00274244161543713,0.009652399706601145
8.4,2.7600000000000002,19.0,7.42,27.0,0.020724702962850117,0.004588967960512669
2.91,2.3000000000000003,10.0,4.64,33.0,0.02447636322758706,-0.004600740288669414
12.65,0.32,41.0,11.63,60.0,-0.6500000000000004,0.010826203820904823
0.12,2.64,39.0,11.85,75.0,0.029422804107279876,-0.02848406439841611
8.08,0.29,88.0,2.94,19.0,-0.05879677230150371,0.05821543104000382
7.63,0.9400000000000001,69.0,10.09,11.0,-0.03584270246789334,0.043164362453488536
5.92,1.0,79.0,12.56,83.0,-0.0354817000360228,-0.5600000000000005
12.74,2.06,75.0,4.73,41.0,-0.7400000000000002,0.05563767998965208
0.46,1.9000000000000001,18.0,8.3,32.0,0.020663909684602466,-0.0084011246522806
12.17,3.31,25.0,11.620000000000001,77.0,-0.16999999999999993,-0.010981090577887542
10.57,1.77,10.0,11.38,54.0,0.013994426036751051,-0.014630038412542845
10.46,3.49,82.0,1.8900000000000001,95.0,-0.0226400346640947,0.049796583719528
4.8500000000000005,3.71,46.0,1.9100000000000001,7.0,0.021021442131357482,0.024167857719818553
5.61,0.14,53.0,1.8800000000000001,78.0,-0.029591765073082144,0.017900009830527752
1.76,0.9400000000000001,68.0,12.91,22.0,-0.010768478916166613,-0.9100000000000001
0.09,0.25,96.0,4.47,3.0,-0.003993974763390223,0.006245282890374071
8.6,1.82,46.0,9.91,82.0,-0.010963865676508533,0.0014347914962780095
3.0500000000000003,2.85,92.0,12.67,62.0,-0.004527845427154009,-0.6699999999999999
8.790000000000001,2.66,99.0,4.32,43.0,-0.040044941739489914,0.061999574600108076
7.66,2.1,90.0,8.84,55.0,-0.035949415981773036,0.041661373511319155
2.0100000000000002,3.21,96.0,0.01,99.0,0.006073401134666145,0.032111856024852836
0.76,2.87,69.0,5.22,90.0,0.020734524409004917,-0.01044840306846151
0.33,1.79,96.0,9.06,11.0,0.008499349139334589,0.009823522894812697
6.0,1.84,30.0,9.74,97.0,0.004625285983795635,-0.01944372952394602
11.0,3.87,45.0,0.39,63.0,0.0110535965723777,0.032312232024747034
10.13,0.32,1.0,0.29,60.0,0.0032042455579706086,-0.0032317697925214883
7.23,3.23,45.0,5.4,6.0,0.010114677294732921,0.028525751639194574
12.85,1.76,68.0,3.59,77.0,-0.8499999999999996,0.042556696191668575
1.35,0.85,44.0,12.27,51.0,-0.0021507492276906515,-0.2699999999999996
3.47,1.52,8.0,11.46,41.0,0.015270316665564554,-0.013610539941993238
6.0600000000000005,0.16,82.0,7.45,77.0,-0.04836409470126135,0.02397094212683104
2.13,1.36,86.0,3.64,13.0,-0.014325334071578322,0.028166228488546885
8.870000000000001,1.18,72.0,3.2,97.0,-0.038799884233363,0.03174760528956799
7.05,2.84,25.0,3.17,69.0,0.018893986650540207,0.0012592183961257497
9.540000000000001,2.5,40.0,10.48,64.0,0.0003628158347606103,0.004986134423212718
4.0600000000000005,2.5300000000000002,21.0,12.32,32.0,0.0210328515194389,-0.3200000000000003
9.41,2.08,86.0,4.0,40.0,-0.03988283205440091,0.0557781031826492
3.46,3.61,18.0,6.890000000000001,7.0,0.036732334986739,0.006117517669276928
9.83,3.08,26.0,7.930000000000001,66.0,0.018111274257730514,-0.002832030746254155
7.5,1.71,31.0,1.36,89.0,0.00015064429483047093,0.008230968433484476
1.17,0.58,31.0,11.85,81.0,-0.0011308795256381732,-0.026455806914331248
11.43,3.5,22.0,8.61,42.0,0.025145220018485404,0.003208591682586359
11.540000000000001,3.49,24.0,6.36,28.0,0.023232398163957058,0.011572173438941569
12.69,3.1,72.0,1.52,8.0,-0.6899999999999995,0.06281186229086266
5.0200000000000005,2.88,55.0,0.23,38.0,0.0051846776171267095,0.028476076872568007
6.0600000000000005,2.34,93.0,2.74,68.0,-0.027918658042977995,0.04297763110910058
4.12,3.06,36.0,9.68,60.0,0.019959879424543914,-0.005019295811562685
12.450000000000001,3.71,15.0,11.36,51.0,-0.45000000000000107,-0.008233482725607644
11.75,3.5100000000000002,35.0,2.6,35.0,0.013872658016175876,0.022941172024129042
9.19,2.57,53.0,7.72,8.0,-0.008033609190730928,0.037367983105860425
11.47,3.63,56.0,10.52,59.0,-0.0020372376655295454,0.023476309921679928
6.24,0.59,74.0,10.0,88.0,-0.03876609155061583,0.0112743521484866
10.14,1.18,35.0,6.84,48.0,-0.013103939988170055,0.012145934694821392
10.8,0.8,30.0,12.280000000000001,78.0,-0.014639159320996242,-0.28000000000000114
3.72,1.24,28.0,11.41,29.0,0.0019970765359094145,0.0012596209659214708
