l,qe,qc,qs,x1,x2,NN_x1,NN_x2
0,2.0,0.6266028413981776,0.15525577551138056,0.09815805410249158,0.02410489897244814,-0.03781690700031035,0.09318089714665284
1,2.0,2.0,1.0303121815583305,1.0,1.0615431714377905,0.9442702415159717,1.1017437558865435
2,2.0,2.7923863926289765,1.4443266372495673,1.94935551771004,2.0860794208676183,1.922543291398427,2.1134204647358845
3,2.0,3.411822408184834,1.7621960630710605,2.9101331321611745,3.10533495308575,2.9008163412808865,3.1250971735852215
4,2.0,3.9379907623045685,2.030201064304434,3.876942912868852,4.121716351428136,3.87908017771535,4.1367996642686435
5,2.0,4.403472122318232,2.266323116127084,4.847641786125119,5.136220457671728,4.857620621842687,5.1441722070740195
6,2.0,4.8253982815473835,2.4797932062313546,5.821117246345792,6.149374337430405,5.836228070428739,6.1506367268957725
7,2.0,5.21409763725073,2.6760972998393076,6.796703643663622,7.1614967505729865,6.8148247030013795,7.157083468136851
8,2.0,5.5763662297601995,2.8588105708401295,7.773965181228522,8.172797872802427,7.791858758006285,8.16316989250797
9,2.0,5.916958005536969,3.03041662937569,8.75259810697692,9.183424940857616,8.761870018023172,9.176134916743683
10,2.0,6.239352719318634,3.192723892279046,9.732380684182825,10.193485845933859,9.733378482793505,10.190229593923041
11,2.0,6.546188229787379,3.3470976160975314,10.713145178165915,11.203062445585896,10.709133003091432,11.195091881321312
12,2.0,6.839520734895155,3.470180791762761,11.694761062093605,12.0,11.671715255702178,11.943524903700336
