qe,qc,vc,qs,vs,x1,x2,ref1,ref2,erro1,erro2,erro,control_elapsed
0.9683837010851535,0.17158009487508458,83.34122660146534,0.04214902820543737,100,0.010704194743118838,0.0017977573983635482,4,4,3.989295805256881,3.9982022426016366,7.987498047858518,3356.2772274017334
1.3157869504234285,0.16878310202441607,52.980268322917794,0.057255751218501856,100,0.025382304977559313,0.003278201010890678,4,4,3.9746176950224408,3.9967217989891095,7.97133949401155,2922.901391983032
2.070389793417604,0.187020833499726,42.146114439658604,0.06943140883724172,100,0.049234464157618736,0.004820503587917581,4,4,3.950765535842381,3.9951794964120824,7.945945032254464,1726.1738777160645
2.738825293265272,0.01020475546422482,1.7672749338616427,0.0641294471433556,100,0.08335633983947535,0.0041133599917665895,4,4,3.9166436601605246,3.9958866400082336,7.912530300168758,1087.3713493347168
3.033915457459832,0.04668542361705761,6.71767377059618,0.06249324464712811,100,0.1207445237293843,0.0039056125711226164,4,4,3.8792554762706155,3.9960943874288772,7.875349863699492,738.3034229278564
3.733396541241057,0.0,0.0,0.05623528612607372,100,0.1674119804948975,0.0031634912965836206,4,4,3.8325880195051023,3.9968365087034163,7.829424528208518,754.375696182251
3.615133183240107,0.3478157925367309,38.08853824948804,0.08146498394717858,100,0.2084747152116319,0.006638535271473134,4,4,3.791525284788368,3.993361464728527,7.784886749516895,748.8110065460205
4.0,0.5951374954731262,59.35254198965511,0.11333245338867393,100,0.25136159087752397,0.012847223826160818,4,4,3.748638409122476,3.987152776173839,7.735791185296315,742.2380447387695
4.0,0.8874907059304382,82.30933077164507,0.1492792531465621,100,0.2906504633442901,0.022287421252599728,4,4,3.7093495366557097,3.9777125787474,7.68706211540311,1512.472152709961
4.0,1.1432588538759716,100.0,0.18566757309034188,100,0.32676060284622266,0.03447501521089998,4,4,3.673239397153777,3.9655249847891,7.638764381942877,741.8117523193359
4.0,1.2034761659424813,100.0,0.21678478278006028,100,0.36208894783194,0.046997069248577036,4,4,3.63791105216806,3.953002930751423,7.590913982919483,8165.968656539917
4.0,1.2596671487779016,100.0,0.24465015908623258,100,0.39669044076357035,0.05985462107274127,4,4,3.6033095592364295,3.9401453789272587,7.543454938163688,4054.7780990600586
4.0,1.3124199727545531,100.0,0.2702549729621187,100,0.4306115732249711,0.07303839703832554,4,4,3.5693884267750287,3.9269616029616743,7.496350029736703,4067.751884460449
4.0,1.3621929025153727,100.0,0.2941683356105612,100,0.46389234430275855,0.08653548927203479,4,4,3.5361076556972413,3.913464510727965,7.449572166425206,5463.00196647644
4.0,1.4093512137371562,100.0,0.3167515314290268,100,0.4965676369591592,0.10033190205582113,4,4,3.503432363040841,3.8996680979441787,7.403100460985019,4079.695463180542
4.0,1.4541916275967204,100.0,0.33825040978816623,100,0.5286682176013741,0.11441363214189279,4,4,3.471331782398626,3.885586367858107,7.356918150256734,4099.13444519043
